category,form_id,title_hint,source,lookup_url,pdf_url_known
Health Care,10-10EZ,Health Benefits Enrollment Application,VA Forms Search,https://www.va.gov/find-forms/?query=10-10EZ,
Health Care,10-10EZR,Health Benefits Update Form,VA Forms Search,https://www.va.gov/find-forms/?query=10-10EZR,
Health Care,10-10CG,Family Caregiver Program Application,VA Forms Search,https://www.va.gov/find-forms/?query=10-10CG,
Health Care,10-10D,CHAMPVA Application,VA Forms Search,https://www.va.gov/find-forms/?query=10-10D,
Health Care,10-7959A,CHAMPVA Claim Form,VA Forms Search,https://www.va.gov/find-forms/?query=10-7959A,
Health Care,10-7959C,CHAMPVA Other Health Insurance Certification,VA Forms Search,https://www.va.gov/find-forms/?query=10-7959C,
Health Care,10-320,Community Care Reimbursement Claim Form,VA Forms Search,https://www.va.gov/find-forms/?query=10-320,
Health Care,10-7959E,Claim for Miscellaneous Expenses,VA Forms Search,https://www.va.gov/find-forms/?query=10-7959E,
Health Care,10-5345,Release of Medical Records Authorization,VA Forms Search,https://www.va.gov/find-forms/?query=10-5345,
Health Care,10-0426,Meds by Mail Prescription Order Form,VA Forms Search,https://www.va.gov/find-forms/?query=10-0426,
Health Care,10-7959F-1,Foreign Medical Program Registration,VA Forms Search,https://www.va.gov/find-forms/?query=10-7959F-1,
Health Care,10-7959F-2,Foreign Medical Program Claim Cover Sheet,VA Forms Search,https://www.va.gov/find-forms/?query=10-7959F-2,
Health Care,10-10068,Camp Lejeune Family Member Program Application,VA Forms Search,https://www.va.gov/find-forms/?query=10-10068,
Health Care,21-0304,"Children of Women Vietnam Veterans / Spina Bifida",VA Forms Search,https://www.va.gov/find-forms/?query=21-0304,

Disability Compensation,21-526EZ,Disability Compensation Application,VA Forms Search,https://www.va.gov/find-forms/?query=21-526EZ,
Disability Compensation,21-8940,Individual Unemployability (TDIU),VA Forms Search,https://www.va.gov/find-forms/?query=21-8940,
Disability Compensation,21-4192,Employer Info for TDIU,VA Forms Search,https://www.va.gov/find-forms/?query=21-4192,
Disability Compensation,21-0781,PTSD / Stressor Statement,VA Forms Search,https://www.va.gov/find-forms/?query=21-0781,
Disability Compensation,21-2680,Aid & Attendance / Housebound Exam,VA Forms Search,https://www.va.gov/find-forms/?query=21-2680,
Disability Compensation,21-4138,Statement in Support of Claim,VA Forms Search,https://www.va.gov/find-forms/?query=21-4138,
Disability Compensation,21-10210,Lay/Witness (Buddy) Statement,VA Forms Search,https://www.va.gov/find-forms/?query=21-10210,

Pension & Survivors,21P-527EZ,Veterans Pension Application,VA Forms Search,https://www.va.gov/find-forms/?query=21P-527EZ,
Pension & Survivors,21P-534EZ,DIC / Survivors Pension / Accrued (FDC),VA Forms Search,https://www.va.gov/find-forms/?query=21P-534EZ,
Pension & Survivors,21-0966,Intent to File,VA Forms Search,https://www.va.gov/find-forms/?query=21-0966,
Pension & Survivors,21P-0969,Income & Asset Statement,VA Forms Search,https://www.va.gov/find-forms/?query=21P-0969,
Pension & Survivors,21-686C,Add/Remove Dependents,VA Forms Search,https://www.va.gov/find-forms/?query=21-686C,
Pension & Survivors,21-674,Request for Approval of School Attendance,VA Forms Search,https://www.va.gov/find-forms/?query=21-674,
Pension & Survivors,21P-509,Dependency of Parent(s),VA Forms Search,https://www.va.gov/find-forms/?query=21P-509,

Education,22-1990,Education Benefits Application,VA Forms Search,https://www.va.gov/find-forms/?query=22-1990,
Education,22-1990E,Transferred Benefits (Dependent),VA Forms Search,https://www.va.gov/find-forms/?query=22-1990E,
Education,22-1990N,National Call to Service,VA Forms Search,https://www.va.gov/find-forms/?query=22-1990N,
Education,22-1995,Change of Program/Place of Training,VA Forms Search,https://www.va.gov/find-forms/?query=22-1995,
Education,22-5490,DEA / Fry Scholarship,VA Forms Search,https://www.va.gov/find-forms/?query=22-5490,

VR&E,28-1900,Veteran Readiness & Employment Application,VA Forms Search,https://www.va.gov/find-forms/?query=28-1900,

Housing,26-1880,Certificate of Eligibility (COE),VA Forms Search,https://www.va.gov/find-forms/?query=26-1880,
Housing,26-1817,Loan Guaranty Eligibility (Unmarried Surviving Spouse),VA Forms Search,https://www.va.gov/find-forms/?query=26-1817,
Housing,10-0103,HISA Grant Application,VA Forms Search,https://www.va.gov/find-forms/?query=10-0103,

Appeals & Records,20-0995,Supplemental Claim,VA Forms Search,https://www.va.gov/find-forms/?query=20-0995,
Appeals & Records,20-0996,Higher-Level Review,VA Forms Search,https://www.va.gov/find-forms/?query=20-0996,
Appeals & Records,10182,Board Appeal (NOD),VA Forms Search,https://www.va.gov/find-forms/?query=10182,
Appeals & Records,20-10206,FOIA/Privacy Act Request,VA Forms Search,https://www.va.gov/find-forms/?query=20-10206,
Appeals & Records,20-10207,Priority Processing Request,VA Forms Search,https://www.va.gov/find-forms/?query=20-10207,

