"ProcessName","Id","CPU","WS","StartTime","Path"
"AcPowerNotification","10284","24.875","14118912","12/19/2025 3:17:38 AM",
"AppActions","10524","0.71875","45776896","12/19/2025 3:27:39 AM","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe"
"ApplicationFrameHost","16824","3.65625","77479936","12/19/2025 3:19:46 AM","C:\Windows\system32\ApplicationFrameHost.exe"
"ArmouryHtmlDebugServer","9492","0","1118208","12/19/2025 3:17:38 AM",
"ArmourySocketServer","10872","0.203125","1028096","12/19/2025 3:17:38 AM",
"ArmourySwAgent","1388","1.328125","1159168","12/19/2025 6:35:46 AM",
"AsHotplugCtrl","5584","0.4375","1867776","12/19/2025 3:17:38 AM",
"AsMonitorControl","10432","0.046875","1880064","12/19/2025 3:17:38 AM",
"AsMsControl","6216",,"8384512",,
"asus_framework","17388","0.5","7090176","12/19/2025 3:17:44 AM",
"asus_framework","18924","0.984375","6987776","12/19/2025 6:35:43 AM",
"asus_framework","15920","12.375","19632128","12/19/2025 3:17:41 AM",
"asus_framework","17096","0.390625","6721536","12/19/2025 3:17:44 AM","C:\Program Files (x86)\ASUS\ArmouryDevice\asus_framework.exe"
"AsusAppService","6208",,"32743424",,
"AsusCertService","3716",,"9031680",,
"AsusHotkey","2204",,"8986624",,
"AsusOptimization","5012",,"14307328",,
"AsusOptimizationStartupTask","10100","0.203125","23662592","12/19/2025 3:17:38 AM","C:\Windows\System32\DriverStore\FileRepository\asussci2.inf_amd64_f44825bb5b746f1a\ASUSOptimization\AsusOptimizationStartupTask.exe"
"AsusOSD","22296","0.171875","16048128","12/19/2025 3:18:38 AM",
"AsusPTPService","4728",,"7581696",,
"AsusScreenXpertHostService","6292",,"30797824",,
"AsusScreenXpertUI","11812",,"18006016",,
"ASUSSmartDisplayControl","9320","0.8125","2863104","12/19/2025 3:17:38 AM",
"AsusSwitch","6180",,"10825728",,
"audiodg","23652","0.21875","24555520","12/20/2025 3:44:35 PM",
"AuraWallpaperService","6712",,"52367360",,
"backgroundTaskHost","15388","0.296875","32710656","12/20/2025 3:50:28 PM","C:\Windows\system32\backgroundTaskHost.exe"
