"ProcessName","Id","CPU","WS","StartTime","Path"
"AcPowerNotification","10284","44.03125","14376960","12/19/2025 3:17:38 AM",
"AppActions","10524","0.8125","45776896","12/19/2025 3:27:39 AM","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe"
"ApplicationFrameHost","16824","3.890625","77312000","12/19/2025 3:19:46 AM","C:\Windows\system32\ApplicationFrameHost.exe"
"ArmouryHtmlDebugServer","9492","0","1118208","12/19/2025 3:17:38 AM",
"ArmourySocketServer","10872","0.203125","1028096","12/19/2025 3:17:38 AM",
"ArmourySwAgent","1388","2.15625","1200128","12/19/2025 6:35:46 AM",
"AsHotplugCtrl","5584","0.4375","1867776","12/19/2025 3:17:38 AM",
"AsMonitorControl","10432","0.046875","1880064","12/19/2025 3:17:38 AM",
"AsMsControl","6216",,"8384512",,
"asus_framework","17388","0.96875","11968512","12/19/2025 3:17:44 AM",
"asus_framework","18924","1.4375","7475200","12/19/2025 6:35:43 AM",
"asus_framework","15920","21.109375","23998464","12/19/2025 3:17:41 AM",
"asus_framework","17096","0.484375","6778880","12/19/2025 3:17:44 AM","C:\Program Files (x86)\ASUS\ArmouryDevice\asus_framework.exe"
"AsusAppService","6208",,"32743424",,
"AsusCertService","3716",,"9031680",,
"AsusHotkey","2204",,"8986624",,
"AsusOptimization","5012",,"14307328",,
"AsusOptimizationStartupTask","10100","0.390625","23662592","12/19/2025 3:17:38 AM","C:\Windows\System32\DriverStore\FileRepository\asussci2.inf_amd64_f44825bb5b746f1a\ASUSOptimization\AsusOptimizationStartupTask.exe"
"AsusOSD","22296","0.171875","16187392","12/19/2025 3:18:38 AM",
"AsusPTPService","4728",,"7581696",,
"AsusScreenXpertHostService","6292",,"30810112",,
"AsusScreenXpertUI","11812",,"18006016",,
"ASUSSmartDisplayControl","9320","0.8125","2863104","12/19/2025 3:17:38 AM",
"AsusSwitch","6180",,"10825728",,
"AuraWallpaperService","6712",,"52350976",,
"ChatGPT","12048","20.40625","69480448","12/19/2025 3:17:57 AM","C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2025.328.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe"
"ChatGPT","18768","2287.9375","2529214464","12/19/2025 3:17:59 AM","C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2025.328.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe"
"ChatGPT","8308","278.59375","293789696","12/19/2025 3:17:57 AM","C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2025.328.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe"
"ChatGPT","3496","0.046875","39845888","12/19/2025 3:17:57 AM","C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2025.328.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe"
"ChatGPT","7820","271.875","234192896","12/19/2025 3:17:56 AM","C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2025.328.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe"
"conhost","14836","0.046875","10108928","12/20/2025 3:09:48 PM","C:\Windows\system32\conhost.exe"
"Copilot","20948","18.859375","226258944","12/19/2025 3:18:04 AM","C:\Program Files\WindowsApps\Microsoft.Copilot_1.25121.60.0_x64__8wekyb3d8bbwe\Copilot.exe"
"CrossDeviceResume","10764","1.140625","86450176","12/19/2025 3:17:38 AM","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe"
"CrossDeviceService","4500","41.84375","145174528","12/19/2025 3:18:07 AM","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.25112.60.0_x64__cw5n1h2txyewy\CrossDeviceService.exe"
"csrss","1660",,"7278592",,
